Quality Supplement Mfg,,,,,,,,,,
Inventory Availability,,,,,,,,,,
  ,,,,,,,,,,
Part,Description,UOM,"On
Hand",Allocated,"Not
Available","Drop
Ship",Available,"On
Order",Committed,Short
CS#5275,00 Gelatin Clear / Clear,ea,"420,000.00","724,000.00",0.00,0.00,0.00,0.00,0.00,"304,000.00"
CS#5276,150cc Amber Glass W/M Packer 45-400 24/case,ea,"9,048.00","6,417.00",0.00,0.00,"2,631.00",0.00,0.00,0.00
FBR001,Placehold Ingredient,kg,478.00,0.00,0.00,0.00,478.00,0.00,0.00,0.00
FG021,5-HTP - PLN,ea,638.00,0.00,0.00,0.00,638.00,0.00,638.00,0.00
FG126,Kona Gold - Bottled 90ct - Youngevity,btl,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00
FG215,Joint Support - Bottle 180 ct - Regentec Pte Ltd,btl,"5,035.00","46,200.00","4,092.00",0.00,0.00,"46,200.00",0.00,"45,257.00"
FG224,LivAssist - Bottle 180 ct - Cornerstone Labs,btl,0.00,0.00,0.00,0.00,0.00,"1,300.00",0.00,0.00
FG243,OxyActin - 60 ct Bottle - Exceptional Health Products,btl,0.00,"3,855.00",0.00,0.00,0.00,"3,855.00",0.00,"3,855.00"
FG251,Alpha Maxx - 60 ct Bottle - Regentec PTE LTD,btl,"4,480.00","4,584.00",0.00,0.00,0.00,0.00,"4,480.00",104.00
FG258,Alkaline Eclectic Cell Support - 90 ct Bottle - A Healthy Crush,btl,"5,309.00","5,500.00",0.00,0.00,0.00,0.00,"5,309.00",191.00
FG271,Dr. Scott's Natural Sleep Remedy - 60 ct Bottle - Neuropharmacology Research Labs,btl,"2,564.00","2,750.00",0.00,0.00,0.00,0.00,"2,564.00",186.00
FG276,5-HTP - Sample Bottle 60 ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG277,Activated Charcoal - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG278,Raspberry Ketone - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG279,Anxiety - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG280,Apple Cider Vinegar - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG281,Ashwagandha - Sample Bottle 60ct,btl,24.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00
FG282,Berberine - Sample Bottle 60ct,btl,86.00,0.00,0.00,0.00,86.00,0.00,0.00,0.00
FG283,Best Sellers Blend - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG284,Biotin Pure - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG285,Blood Sugar Ultra - Sample Bottle 60ct,btl,106.00,0.00,0.00,0.00,106.00,0.00,0.00,0.00
FG286,Caralluma - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG287,Chlorella - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG288,Organic Ceylon Cinnamon - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG289,CLA - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG290,"Collagen I, II, III, V, X - Sample Bottle 60ct",btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG291,Colon Sweep - Sample Bottle 60ct,btl,27.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00
FG292,CoQ10 Ubiquinone - Sample Bottle 30ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG293,White Mulberry Extract Blend - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG294,Digestive Enzyme - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG295,Elderberry - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG296,Eye Health - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG297,Female Enhancement - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG298,Forskolin 125mg - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
FG299,Forskolin 250mg - Sample Bottle 60ct,btl,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
